,Category,Subcategory,URL
146,Restaurants & Bars,North & South American Cuisine,https://trustpilot.com/categories/north_south_american_cuisine?numberofreviews=0&page=1&status=all&timeperiod=0
147,Restaurants & Bars,Southeast Asian Cuisine,https://trustpilot.com/categories/southeast_asian_cuisine?numberofreviews=0&page=1&status=all&timeperiod=0
148,Restaurants & Bars,Takeaway,https://trustpilot.com/categories/takeaway?numberofreviews=0&page=1&status=all&timeperiod=0
149,Restaurants & Bars,Vegetarian & Diet,https://trustpilot.com/categories/vegetarian_diet?numberofreviews=0&page=1&status=all&timeperiod=0
150,Shopping & Fashion,Accessories,https://trustpilot.com/categories/accessories?numberofreviews=0&page=1&status=all&timeperiod=0
151,Shopping & Fashion,Clothing & Underwear,https://trustpilot.com/categories/clothing_underwear?numberofreviews=0&page=1&status=all&timeperiod=0
152,Shopping & Fashion,Clothing Rental & Repair,https://trustpilot.com/categories/clothing_rental_repair?numberofreviews=0&page=1&status=all&timeperiod=0
153,Shopping & Fashion,Costume & Wedding,https://trustpilot.com/categories/costume_wedding?numberofreviews=0&page=1&status=all&timeperiod=0
154,Shopping & Fashion,Jewelry & Watches,https://trustpilot.com/categories/jewelry_watches?numberofreviews=0&page=1&status=all&timeperiod=0
155,Shopping & Fashion,Malls & Marketplaces,https://trustpilot.com/categories/malls_marketplaces?numberofreviews=0&page=1&status=all&timeperiod=0
156,Sports,Ball Games,https://trustpilot.com/categories/ball_games?numberofreviews=0&page=1&status=all&timeperiod=0
157,Sports,Bat-and-ball Games,https://trustpilot.com/categories/bat-and-ball_games?numberofreviews=0&page=1&status=all&timeperiod=0
158,Sports,Bowls & Lawn Sports,https://trustpilot.com/categories/bowls_lawn_sports?numberofreviews=0&page=1&status=all&timeperiod=0
159,Sports,Dancing & Gymnastics,https://trustpilot.com/categories/dancing_gymnastics?numberofreviews=0&page=1&status=all&timeperiod=0
160,Sports,Equipment & Associations,https://trustpilot.com/categories/equipment_associations?numberofreviews=0&page=1&status=all&timeperiod=0
161,Sports,Extreme Sports,https://trustpilot.com/categories/extreme_sports?numberofreviews=0&page=1&status=all&timeperiod=0
162,Sports,Fitness & Weight Lifting,https://trustpilot.com/categories/fitness_weight_lifting?numberofreviews=0&page=1&status=all&timeperiod=0
163,Sports,Golf & Ultimate,https://trustpilot.com/categories/golf_ultimate?numberofreviews=0&page=1&status=all&timeperiod=0
164,Sports,Hockey & Ice Skating,https://trustpilot.com/categories/hockey_ice_skating?numberofreviews=0&page=1&status=all&timeperiod=0
165,Sports,Martial arts & Wrestling,https://trustpilot.com/categories/martial_arts_wrestling?numberofreviews=0&page=1&status=all&timeperiod=0
166,Sports,Outdoor & Winter Sports,https://trustpilot.com/categories/outdoor_winter_sports?numberofreviews=0&page=1&status=all&timeperiod=0
167,Sports,Shooting & Target Sports,https://trustpilot.com/categories/shooting_target_sports?numberofreviews=0&page=1&status=all&timeperiod=0
168,Sports,Swimming & Water Sports,https://trustpilot.com/categories/swimming_water_sports?numberofreviews=0&page=1&status=all&timeperiod=0
169,Sports,Tennis & Racquet Sports,https://trustpilot.com/categories/tennis_racquet_sports?numberofreviews=0&page=1&status=all&timeperiod=0
170,Travel & Vacation,Accommodation & Lodging,https://trustpilot.com/categories/accomodations_lodging?numberofreviews=0&page=1&status=all&timeperiod=0
171,Travel & Vacation,Activities & Tours,https://trustpilot.com/categories/activities_tours?numberofreviews=0&page=1&status=all&timeperiod=0
172,Travel & Vacation,Airlines & Air Travel,https://trustpilot.com/categories/airlines_air_travel?numberofreviews=0&page=1&status=all&timeperiod=0
173,Travel & Vacation,Hotels,https://trustpilot.com/categories/hotels?numberofreviews=0&page=1&status=all&timeperiod=0
174,Travel & Vacation,Travel Agencies,https://trustpilot.com/categories/travel_agencies?numberofreviews=0&page=1&status=all&timeperiod=0
175,Utilities,Energy & Power,https://trustpilot.com/categories/energy_power?numberofreviews=0&page=1&status=all&timeperiod=0
176,Utilities,Water Utilities,https://trustpilot.com/categories/water_utilities?numberofreviews=0&page=1&status=all&timeperiod=0
177,Vehicles & Transportation,Air & Water Transport,https://trustpilot.com/categories/air_water_transport?numberofreviews=0&page=1&status=all&timeperiod=0
178,Vehicles & Transportation,Airports & Parking,https://trustpilot.com/categories/airports_parking?numberofreviews=0&page=1&status=all&timeperiod=0
179,Vehicles & Transportation,Auto Parts & Wheels,https://trustpilot.com/categories/auto_parts_wheels?numberofreviews=0&page=1&status=all&timeperiod=0
180,Vehicles & Transportation,Bicycles,https://trustpilot.com/categories/bicycles?numberofreviews=0&page=1&status=all&timeperiod=0
181,Vehicles & Transportation,Cars & Trucks,https://trustpilot.com/categories/cars_trucks?numberofreviews=0&page=1&status=all&timeperiod=0
182,Vehicles & Transportation,Motorcycle & Powersports,https://trustpilot.com/categories/motorcycle_powersports?numberofreviews=0&page=1&status=all&timeperiod=0
183,Vehicles & Transportation,Other Vehicles & Trailers,https://trustpilot.com/categories/other_vehicles_trailers?numberofreviews=0&page=1&status=all&timeperiod=0
184,Vehicles & Transportation,Taxis & Public Transport,https://trustpilot.com/categories/taxis_public_transport?numberofreviews=0&page=1&status=all&timeperiod=0
185,Vehicles & Transportation,Vehical Rental,https://trustpilot.com/categories/vehical_rental?numberofreviews=0&page=1&status=all&timeperiod=0
186,Vehicles & Transportation,Vehicle Repair & Fuel,https://trustpilot.com/categories/vehicle_repair_fuel?numberofreviews=0&page=1&status=all&timeperiod=0
